sender,subject,body,dmarc_spf_pass,label,num_links,num_dollar_signs,num_urgent_terms,num_personal_pronouns,domain_match,suspicious_subject,signature_mismatch
noreply@russo-chambers-secure.com,Action Required: Update Payment Information,"
Dear Eric,

We've detected suspicious activity on your Russo-Chambers account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Russo-Chambers.com/verify?token=5457f642-4343-4b31-9769-eab080ad130a

If this wasn't you, contact security immediately: security@Russo-Chambers.com

Sincerely,
Russo-Chambers Security Team
                

Questions? Visit our FAQ page at https://russo-chambers.com/faq or call 1-800-1557819",0,1,2,0,3,3,1,1,0
help@allengroup.com,Meeting Follow-up: Configurable maximized attitude,"
Hi Diane,

Great connecting with you during our meeting about Configurable maximized attitude. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-05-05.

Best regards,
Diane
Estate manager/land agent
Allen Group
                

Best regards,
Diane Donovan
Financial controller
Allen Group
Phone: (571)454-4521x3909",1,0,0,0,0,5,1,-1,1
security@wrightllc-alerts.com,Security Alert: Wright LLC Account Activity,"
Hi Emily,

This is a reminder that your payment for invoice #2805 for $631 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Wright LLC.com/update-payment?token=19de1f80-41c4-4921-a136-a4735601bf35

If you believe this is an error, please contact our billing department.

Best regards,
Wright LLC Billing Department
                ",1,1,1,1,0,1,1,-1,1
kelsey.norto@mccannellisonandflem.com,Your November 2022 Statement,"
Hi Kelsey,

Great connecting with you during our meeting about Reverse-engineered logistical emulation. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-05-21.

Best regards,
Kelsey
Manufacturing systems engineer
Mccann, Ellison and Fleming
                

Best regards,
Kelsey Norton
Farm manager
Mccann, Ellison and Fleming
Phone: 3492315910",1,0,0,0,0,5,1,0,1
noreply@jones-stone-secure.com,Invoice 7559: Past Due Payment Notice,"
Hi Samuel,

This is a reminder that your payment for invoice #7559 for $1727 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Jones-Stone.com/update-payment?token=bf6b024c-3c4a-4f6f-a0b9-3f666000c9bd

If you believe this is an error, please contact our billing department.

Best regards,
Jones-Stone Billing Department
                ",1,1,1,1,0,1,1,0,1
tina@gill-thornton.com,Action Required: Update Payment Information,"
Hi Tina,

This is a reminder that your payment for invoice #9295 for $2603 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Gill-Thornton.com/update-payment?token=09b10bd2-fcc5-490e-8570-923670961b3f

If you believe this is an error, please contact our billing department.

Best regards,
Gill-Thornton Billing Department
                

Best regards,
Tina Green
Freight forwarder
Gill-Thornton
Phone: 001-760-326-6666x452",1,1,1,1,0,1,1,1,1
support@perez-davis.com,Notification: Peterson LLC - Account Verification Needed,"
Hi Christopher,

This is a reminder that your payment for invoice #4557 for $1298 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Peterson LLC.com/update-payment?token=80a80a95-dc8f-4b82-9722-d50dd5080fe6

If you believe this is an error, please contact our billing department.

Best regards,
Peterson LLC Billing Department
                

Best regards,
Christopher Robertson
Engineer, civil (consulting)
Peterson LLC
Phone: (676)406-9389",0,1,1,1,0,1,0,0,1
michael@benson-welch.com,Action Required: Update Payment Information,"
Hello Michael,

Following up on our conversation about the Story present project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Benson-Welch Services
Account #: 4118288753902263
Routing #: 510708963

Please direct all future payments to this new account.

Sincerely,
Michael
Programmer, multimedia
Benson-Welch
                

Best regards,
Michael Hall
Education officer, environmental
Benson-Welch
Phone: 7707849225",0,1,0,0,0,3,1,1,1
billing@mezadiazandcarroll.com,Action Required: Update Payment Information,"
Dear Jeremy,

We've detected suspicious activity on your Meza, Diaz and Carroll account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Meza, Diaz and Carroll.com/verify?token=45a38b29-bb2b-4348-a4ab-82cb53ad819c

If this wasn't you, contact security immediately: security@Meza, Diaz and Carroll.com

Sincerely,
Meza, Diaz and Carroll Security Team
                

This communication is in accordance with our privacy policy: https://mezadiazandcarroll.com/privacy",1,1,2,0,3,3,1,-1,0
noreply@turner-brown-secure.com,Invoice 5207: Past Due Payment Notice,"
Dear Nicole,

We've detected suspicious activity on your Turner-Brown account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Turner-Brown.com/verify?token=0b3ec4c0-745f-4ce5-9245-6469824cab56

If this wasn't you, contact security immediately: security@Turner-Brown.com

Sincerely,
Turner-Brown Security Team
                ",0,1,1,0,3,2,1,0,0
